"ENSEMBL","ENTREZID"
"ENSG00000104722","4741"
"ENSG00000008128","728642"
"ENSG00000087586","6790"
"ENSG00000179912","22864"
"ENSG00000198060","54708"
"ENSG00000276409","6358"
"ENSG00000168056","4054"
"ENSG00000154217","26207"
"ENSG00000175283","22845"
"ENSG00000173575","1106"
"ENSG00000171848","6241"
"ENSG00000181222","5430"
"ENSG00000126368","9572"
"ENSG00000138778","1062"
"ENSG00000130222","10912"
"ENSG00000168488","11273"
"ENSG00000185291","3563"
"ENSG00000292332","3563"
"ENSG00000165480","221150"
"ENSG00000171988","221037"
"ENSG00000154839","220134"
"ENSG00000106346","84132"
"ENSG00000254911","619383"
"ENSG00000254911","100158262"
"ENSG00000166478","7702"
"ENSG00000249751","641700"
"ENSG00000101916","51311"
"ENSG00000074660","8578"
"ENSG00000156030","91748"
"ENSG00000167984","197358"
"ENSG00000166145","6692"
"ENSG00000134686","1912"
"ENSG00000266964","5348"
"ENSG00000157456","9133"
"ENSG00000173894","84733"
"ENSG00000147274","27316"
"ENSG00000204301","4855"
"ENSG00000255833","497189"
"ENSG00000187678","81848"
"ENSG00000063177","6141"
"ENSG00000129244","482"
"ENSG00000169860","5028"
"ENSG00000136541","57471"
"ENSG00000102010","660"
"ENSG00000116044","4780"
"ENSG00000138231","51163"
"ENSG00000121281","113"
"ENSG00000258441","283624"
"ENSG00000127423","79000"
"ENSG00000163132","4487"
"ENSG00000156642","27020"
"ENSG00000151208","9231"
"ENSG00000173801","3728"
"ENSG00000181544","2187"
"ENSG00000106366","5054"
"ENSG00000085185","63035"
"ENSG00000124610","3024"
"ENSG00000137309","3159"
"ENSG00000158050","1844"
"ENSG00000162739","114836"
"ENSG00000198034","6191"
"ENSG00000134955","219855"
"ENSG00000158856","2039"
"ENSG00000173276","49854"
"ENSG00000224114","100271063"
"ENSG00000242512","100996490"
"ENSG00000078061","369"
"ENSG00000175946","340359"
"ENSG00000282961","101867536"
"ENSG00000110934","51411"
"ENSG00000213366","2946"
"ENSG00000113558","6500"
"ENSG00000155657","7273"
"ENSG00000137310","6941"
"ENSG00000148218","210"
"ENSG00000165304","9833"
"ENSG00000177058","153129"
"ENSG00000189057","374393"
"ENSG00000213020","81856"
